Gene names,riBAQ 17,riBAQ 18,riBAQ 35,riBAQ 36,riBAQ 19,riBAQ 20,riBAQ 21,riBAQ 22,riBAQ 23,riBAQ 37,riBAQ 38,riBAQ 39,riBAQ 40,riBAQ 41,riBAQ 24,riBAQ 25,riBAQ 26,riBAQ 42,riBAQ 43
CLTC,0.000867283,0.00246882,0.002101068,0.001987747,0.001752568,0.001942691,0.003839607,0.001553539,0.001019746,0.002025531,0.002234484,0.000629775,0.00047861,0.001138181,0.000779941,0.000636529,0.000625988,0.000772415,0.000785648
CLU,0.000228351,0.000356014,0.000263937,0.00035483,0.000212145,0.000519687,0.000413678,0.000501616,0.000377622,0.00038686,0.000302482,0.000298161,0.000189323,0.000331201,0.000319717,0.000477628,0.000405201,0.000484214,0.000768606
CMBL,6.90E-05,4.24E-05,6.90E-05,6.35E-05,0.000101336,7.34E-05,6.65E-05,9.63E-05,7.51E-05,8.74E-05,9.16E-05,7.45E-05,8.34E-05,7.09E-05,0.000127444,0.000146538,9.02E-05,0.000140757,0.000123863
CMPK1,0.000119193,0.000214652,0.000211569,0.00015007,0.00013248,0.000194603,0.000125984,0.00013498,0.0001135,0.000161982,0.000170364,0.000103083,8.46E-05,0.000102101,0.000107205,0.000116507,0.000151943,0.000132356,0.000138944
CNDP1,0,0,0,0,0,2.18E-05,0,2.60E-05,1.71E-05,1.14E-05,1.29E-05,1.09E-05,2.55E-05,2.76E-05,2.53E-05,0,2.16E-05,0,0
CNDP2,0.000264461,0.000337236,0.00028734,0.000311856,0.000284375,0.000512438,0.000472929,0.000477866,0.000400083,0.00042712,0.000428161,0.000367821,0.000413768,0.000492306,0.000535014,0.000497355,0.000646842,0.000712778,0.000523861
CNN3,4.07E-05,6.25E-05,4.09E-05,4.81E-05,5.27E-05,6.74E-05,6.48E-05,7.54E-05,8.68E-05,6.85E-05,8.08E-05,5.46E-05,8.76E-05,8.42E-05,0.000102267,0.000141922,0.000156106,0.000184032,8.80E-05
CNP,0.002373169,0.004252685,0.001783685,0.002105665,0.003265939,0.007095955,0.003430555,0.003834165,0.002672406,0.003554113,0.004739746,0.003812348,0.002285475,0.003452989,0.002836862,0.00194004,0.002641362,0.001188898,0.001817846
CNPY2,0,0,1.60E-05,0,0,0.000124711,3.14E-05,3.13E-05,0,3.21E-05,3.10E-05,0,0,0,6.04E-05,6.68E-05,6.09E-05,0.000208439,8.98E-05
CNRIP1,0.000617468,0.000817343,0.000963697,0.000788149,0.000815629,0.00058805,0.000540654,0.000654494,0.00056262,0.000686558,0.000631563,0.000495029,0.000525127,0.000680694,0.000337085,0.000249817,0.000194729,0.000232457,0.000273526
CNTFR,0.00050234,0.000266964,0.000238514,0.000276756,0.000354417,0.000425359,0.000513897,0.000369313,0.000278045,0.000202545,0.000353424,0.000486867,0.000348747,0.000312229,0.000663097,0.000785758,0.000527205,0.000496914,0.000501305
CNTN1,0.001456918,0.000964331,0.001217338,0.000845675,0.001292867,0.001035263,0.001729396,0.000855116,0.001075883,0.00099866,0.001006618,0.001340127,0.000941323,0.00109863,0.000969728,0.00107049,0.000878863,0.000607835,0.001196744
CNTN2,8.84E-06,0,6.78E-06,0,6.78E-06,1.79E-05,2.92E-05,0,9.54E-06,0,2.32E-05,1.73E-05,1.49E-05,6.53E-06,1.41E-05,1.39E-05,1.45E-05,0,6.84E-06
CNTNAP1,0.000289787,0.000242287,0.000260492,0.000266357,0.00031273,0.000204399,0.000226505,0.000199175,0.000287266,0.000339959,0.000279028,0.000261544,0.000221838,0.000206659,0.000164113,0.000173275,0.000205069,0.000110258,0.000131864
CNTNAP2,9.72E-06,9.58E-06,1.90E-05,0,1.20E-05,2.61E-05,4.01E-05,0,0,1.41E-05,2.18E-05,1.36E-05,1.33E-05,9.79E-06,1.60E-05,1.83E-05,1.35E-05,1.15E-05,2.02E-05
COA6,4.12E-05,0,4.36E-05,3.18E-05,0,0,0,0,0,4.80E-05,0,0,6.71E-05,0,0,0,0,0,0
COASY,1.31E-05,2.28E-05,0,1.07E-05,0,0,0,1.75E-05,0,0,0,0,0,0,0,0,0,1.06E-05,1.75E-05
COL1A1,0,0,0,0,0,0,0,0,0,7.12E-06,0,5.26E-06,0,0,1.45E-05,3.45E-05,9.94E-06,1.47E-05,3.76E-05
