"","kMEgreen","kMEturquoise","kMEblack","kMEpink","kMEgrey"
"RPH3A",-0.461781670978853,-0.55161988213129,0.872192829267926,0.391292135540403,0.396074384387571
"RPL10",0.842005530267948,0.944282082069594,-0.645174082598618,-0.322245933376718,0.363293367467886
"RPL10A",0.879690706564568,0.706342373248488,-0.411006756380819,0.000497578717946381,0.456631013249682
"RPL12",0.811136536870772,0.772154238128986,-0.536780921092461,-0.19455101037756,0.304874855400444
"RPL13",0.890034320280224,0.886096117514117,-0.683685336454359,-0.297017252362291,0.241237882452148
"RPL13a",0.851518586172687,0.928888616835752,-0.616303752889187,-0.488906682352748,0.405614128523693
"RPL14",0.68074194291166,0.376585626484361,-0.101695209296793,0.266256733785895,0.46771049534049
"RPL15",0.624891030470922,0.404965906195659,-0.350288913446997,0.18863741795607,0.288512417950556
"RPL17",0.766468998421638,0.710716212187395,-0.336462336830256,-0.0672283173472871,0.553629376978322
"RPL18A",0.689153692987339,0.524191029552354,-0.440728294276228,0.110286580269583,0.253098894662331
"RPL23A",0.785857472776653,0.664366590706686,-0.565053531593788,-0.121151507026288,0.109083543362146
"RPL3",0.834666691639498,0.567887489309306,-0.457544247147953,0.125185273092139,0.226045586916828
"RPL4",0.901977183984471,0.82994577308494,-0.539911760379487,-0.179512746239604,0.353971540697955
"RPL5",0.372431020574871,0.560028191521931,-0.283385133930177,-0.327551294384933,0.379111508646979
"RPL6",0.787369215621898,0.677206298351657,-0.433307914201115,0.17432936215592,0.378541598872662
"RPL7",0.752867495117217,0.586537255033923,-0.404984020030467,0.221640837892489,0.304610449114391
"RPL7A",0.820947768547136,0.757283193567676,-0.525771408906778,-0.0130244485706255,0.317205840540152
"RPL8",0.848287281053798,0.734825123430512,-0.571264806246333,-0.0128297407944522,0.209638561071823
"RPLP0",0.782496539914256,0.584452259278445,-0.489802002424549,0.168575021476271,0.16605303062909
"RPLP2",0.610035159624746,0.174426497894974,-0.187899850700919,0.24481282168913,0.111795990300162
"RPN1",0.961986081072656,0.858422435659006,-0.650674743193542,-0.381942694639327,0.305450989624664
"RPN2",0.963461502180663,0.864350479583338,-0.591921151773799,-0.424673606153822,0.399234083700931
"RPS10.NUDT3",-0.0600572307879168,0.063198799994547,-0.234739510513656,-0.156918036566737,-0.308641804607163
"RPS11",0.688039150464339,0.67400266065652,-0.360867502730664,-0.0505388404693202,0.526751860571148
"RPS13",0.442720347784121,0.434608420919376,-0.102046905044539,0.159955944793878,0.564232271434741
"RPS15A",0.263908580116484,0.277604120827055,0.0158754634790399,0.267411693262608,0.429558997762731
"RPS16",0.644510115648172,0.856205831795204,-0.576141158587537,-0.149672728343418,0.334194859749128
"RPS17",0.749609335674078,0.948449479956563,-0.584202505313077,-0.445905851985867,0.372240671347639
"RPS18",0.711277736650779,0.943625095863789,-0.593571149578275,-0.254564857017599,0.387381891271106
"RPS19",0.590995431300559,0.831830824390994,-0.548515400400809,-0.469429330121945,0.335750771419216
"RPS2",0.828978276314298,0.879412059982095,-0.583330181632563,-0.108185222996526,0.418088672716481
"RPS27A",-0.407296907790907,-0.451012361453638,0.0551981774800312,0.341964620643125,-0.563980910270952
"RPS3",0.570190096428738,0.735713816243053,-0.566307110783705,-0.118141680713311,0.266513320910104
"RPS3A",0.842634394756763,0.857895848297121,-0.429178833400353,-0.199366133091056,0.561253967260825
"RPS4X",0.663565425136139,0.859825845646721,-0.536138300226952,-0.126998959948115,0.430878946906243
"RPS6",0.813208757219144,0.952682278797681,-0.683268133139589,-0.574288792126957,0.332503740733667
"RPS6KA2",0.610443738540434,0.846162462834271,-0.511063804016874,-0.161524364918551,0.414617204205187
"RPS7",0.569894118833714,0.733268765899901,-0.58418093793701,-0.310558223503012,0.178249416371543
"RPS8",0.86512137972397,0.824414967784703,-0.642762865504144,-0.196374331727363,0.271453669533718
"RPS9",0.825251447406222,0.770312224384647,-0.458686787309523,0.0383195991919281,0.49541689760035
"RPSA",0.58996600356529,0.675847049152006,-0.430334763245332,-0.365971235401803,0.345173768898507
"RRAS",0.845763500614321,0.887195215144402,-0.65578563821226,-0.485380827293337,0.376782018099259
"RRAS2",0.564476908213794,0.473252453735849,-0.144893103533895,-0.327234223374014,0.431471987576266
"RTCB",0.165485358794714,0.136194046711321,0.0578174795930417,0.409389674607157,0.180763097934318
"RTN1",-0.380875923837948,-0.639088303300487,0.75534426929484,0.908853350331202,0.233930560734144
"RTN3",0.0731844065713417,-0.366478922440773,0.379669345132569,0.59947085831832,0.145271816668441
"RTN4",-0.0839835000978197,-0.460158532278969,0.811369532707943,0.570048794346372,0.58901381965319
"RUFY3",-0.387361675918,-0.553483211237544,0.847189762846931,0.457916382739724,0.417206890133918
"RUVBL1",0.890625002265231,0.607984100276842,-0.45460310839567,-0.192670882454277,0.304325517940812
"RUVBL2",0.883695815821959,0.73438916278703,-0.509017241967021,-0.200964982832222,0.331680869420275
"S100A1",-0.231655640447055,-0.361055065874439,-0.0359485613235968,0.0490278311349545,-0.636919625076407
"S100A11",0.784616406080852,0.828940836251953,-0.721139515409489,-0.597598954889999,0.182487992388848
"S100A13",0.200213255310252,0.357627307798244,-0.425113303661489,-0.221900595814035,-0.0809020304686551
"S100A16",0.343916027728309,0.439339994482163,-0.0464884807064288,-0.00662053162002897,0.395443461682168
"S100A7",-0.0765108898525615,-0.123993818165681,-0.0975647971121475,-0.379131657234805,-0.387046280282893
"S100A8",-0.085152413513626,-0.116424839580428,-0.0731445498253357,-0.370375921703635,-0.397565080060779
"S100A9",-0.0569109650350376,-0.0873720449674573,-0.191277787996354,-0.394881780633782,-0.472609978987673
"S100B",0.598300729310337,0.568868475254708,-0.757284805217878,-0.567936767822255,-0.236811815049851
"SACM1L",0.743980894975318,0.356587592512064,0.0327906053979759,-0.0418446459423269,0.616940214062114
"SAMM50",0.677859406997467,0.973158467199993,-0.648701107961366,-0.506214594470638,0.333890903026866
"SAR1A",0.65295145844766,0.564919162255616,-0.292451199540402,0.0123624716298793,0.350152861257132
"SARS",-0.577211350843226,-0.661768992041388,0.555203690203155,0.305203545351336,-0.168785013334841
"SBDS",0.484632973596133,0.683913877050768,-0.688951907188481,-0.517905141058743,-0.152087498614198
"SBF1",-0.477910315128767,-0.625606436093081,0.929051556159153,0.59085263743085,0.477174274518138
"SBSN",-0.0886275764021408,-0.0440396999263936,-0.111613630283597,-0.292085197259129,-0.34451207079567
"SCAI",-0.261308032862213,-0.53684971591015,0.85844548401289,0.807519745448064,0.475182067314101
"SCAMP1",-0.263968724512897,-0.257601313081019,0.715211553905745,0.296614246325063,0.495825400300406
"SCARB2",0.567744396934498,0.891171150692322,-0.652960886395276,-0.357640172067491,0.215339682519892
"SCCPDH",0.845019157425379,0.959839786396539,-0.643192650232638,-0.332944328383436,0.400383774546027
"SCG3",0.0590679729411734,-0.160392668975025,0.0275211090529959,0.122338057301537,-0.0948973294458239
"SCIN",0.774932701867361,0.689782902258118,-0.597854311272861,-0.526500453120218,0.187433372889935
"SCN2A",-0.526918978936792,-0.741937768754617,0.960172587874767,0.635772797945754,0.34645278061666
"SCN2B",-0.722040599132649,-0.738894084367449,0.78544532599618,0.453535339652154,0.0802594037640164
"SCP2",0.868181308761106,0.931094217884773,-0.608937549513688,-0.480813456296821,0.405033319634874
"SCRN1",-0.321419731902112,-0.67839515025729,0.601405001886279,0.429828878393224,-0.00651645916980287
"SDCBP",0.390610969436857,0.0222081383542981,0.092136273498944,0.263887280933067,0.385830947102301
"SDHA",0.674084263463568,0.951448281866673,-0.649774641768473,-0.44213592731098,0.295313907029571
"SDHB",0.643374085420723,0.930425574241466,-0.606045094707514,-0.411181212551935,0.288841870827402
"SEC13",0.537480069902951,0.398307815166314,0.0706952707518995,-0.040266536619697,0.699282280429273
"SEC14L2",0.39136039282748,0.379906965738695,0.0190865166365631,-0.259190464059099,0.510816931681866
"SEC22B",0.345318988658633,0.335671667077826,0.305059046612301,0.037777680704967,0.787877685061069
"SEC62",0.781459735933814,0.869354712792966,-0.596035334433119,-0.484640945041692,0.395931311387832
"SELENBP1",0.653842012128281,0.870434956314381,-0.875202252359238,-0.685712459648907,-0.0630342498568896
