,Gene,Comparison,Significance
PiD_vs_CTL.MAPT,MAPT,PiD_vs_CTL,Significant
PiD_vs_CTL.SBF1,SBF1,PiD_vs_CTL,Significant
PiD_vs_CTL.PPP1CB,PPP1CB,PiD_vs_CTL,Significant
PiD_vs_CTL.TPBG,TPBG,PiD_vs_CTL,Significant
PiD_vs_CTL.PDXP,PDXP,PiD_vs_CTL,Significant
PiD_vs_CTL.CLTB,CLTB,PiD_vs_CTL,Significant
PiD_vs_CTL.MARCKSL1,MARCKSL1,PiD_vs_CTL,Significant
PiD_vs_CTL.SLC16A1,SLC16A1,PiD_vs_CTL,Significant
PiD_vs_CTL.TWF2,TWF2,PiD_vs_CTL,Significant
PiD_vs_CTL.DKK3,DKK3,PiD_vs_CTL,Significant
PiD_vs_CTL.SV2B,SV2B,PiD_vs_CTL,Significant
PiD_vs_CTL.UBE2N,UBE2N,PiD_vs_CTL,Significant
PiD_vs_CTL.TSPAN7,TSPAN7,PiD_vs_CTL,Significant
PiD_vs_CTL.NAPB,NAPB,PiD_vs_CTL,Significant
PiD_vs_CTL.MVP,MVP,PiD_vs_CTL,Significant
PiD_vs_CTL.IST1,IST1,PiD_vs_CTL,Significant
PiD_vs_CTL.ENPP6,ENPP6,PiD_vs_CTL,Significant
PiD_vs_CTL.PPP2R2A,PPP2R2A,PiD_vs_CTL,Significant
PiD_vs_CTL.STX1B,STX1B,PiD_vs_CTL,Significant
PiD_vs_CTL.MAOA,MAOA,PiD_vs_CTL,Significant
PiD_vs_CTL.CMBL,CMBL,PiD_vs_CTL,Significant
PiD_vs_CTL.FSCN1,FSCN1,PiD_vs_CTL,Significant
PiD_vs_CTL.PPP3CA,PPP3CA,PiD_vs_CTL,Significant
PiD_vs_CTL.HSPH1,HSPH1,PiD_vs_CTL,Significant
PiD_vs_CTL.RDX,RDX,PiD_vs_CTL,Significant
PiD_vs_CTL.LAMB2,LAMB2,PiD_vs_CTL,Significant
PiD_vs_CTL.AGRN,AGRN,PiD_vs_CTL,Significant
